age,annual_income,credit_score,tenure_months,account_balance,monthly_usage_hours,support_tickets,contract_type,payment_method,device_category,is_churn
59,75690.14,605,27,33655.38,84.7,3,Month-to-Month,Credit Card,Desktop,0
21,128476.97,564,68,74077.38,72.2,3,Month-to-Month,Bank Transfer,Mobile,0
71,150216.12,379,64,144240.3,59.3,1,Two-Year,Bank Transfer,Mobile,0
46,143154.2,630,30,115446.32,4.8,1,One-Year,Electronic Check,Desktop,0
35,148661.12,761,36,73246.45,75.3,2,Two-Year,Electronic Check,Tablet,0
43,92515.41,831,67,50657.87,50.6,0,Month-to-Month,Credit Card,Mobile,0
61,151764.3,586,49,82390.27,67.7,1,One-Year,Electronic Check,Mobile,0
51,43632.4,597,55,112254.13,52.1,3,Two-Year,Credit Card,Mobile,0
27,109395.81,717,56,117589.29,116.0,0,One-Year,Credit Card,Mobile,0
53,25892.59,844,68,48691.32,72.9,2,Month-to-Month,Credit Card,Mobile,0
31,75310.8,374,44,108173.89,90.2,2,Two-Year,Bank Transfer,Mobile,0
48,81801.54,423,31,98668.32,112.4,2,Month-to-Month,Credit Card,Mobile,0
65,86406.77,555,58,143866.84,71.4,1,Two-Year,Credit Card,Mobile,0
32,132797.42,839,53,139663.54,2.4,2,Month-to-Month,Credit Card,Desktop,0
25,85226.51,843,23,118406.9,5.1,0,One-Year,Credit Card,Desktop,0
31,94547.51,663,28,108509.2,84.6,0,Two-Year,Electronic Check,Mobile,0
40,61819.34,443,16,41106.24,34.2,2,Month-to-Month,Electronic Check,Tablet,0
74,82854.03,724,37,126894.79,69.9,1,Month-to-Month,Bank Transfer,Mobile,0
57,60226.79,476,21,64125.86,25.1,1,Month-to-Month,Bank Transfer,Mobile,0
38,36345.37,774,17,40836.08,33.2,7,Month-to-Month,Bank Transfer,Desktop,1
33,118534.53,374,37,57624.11,61.1,0,Month-to-Month,Electronic Check,Desktop,0
62,128572.98,683,19,125390.32,117.1,0,One-Year,Bank Transfer,Tablet,0
35,121021.0,704,30,22294.98,74.3,3,Month-to-Month,Credit Card,Mobile,0
64,96841.58,465,45,68423.81,112.4,1,Month-to-Month,Credit Card,Mobile,0
70,83866.8,397,18,73853.64,115.2,1,Month-to-Month,Credit Card,Desktop,1
41,158816.72,575,62,5494.45,25.8,0,Month-to-Month,Credit Card,Mobile,0
43,105457.68,615,36,29361.9,38.0,7,One-Year,Credit Card,Mobile,0
42,99273.19,448,52,124011.36,92.6,3,One-Year,Electronic Check,Desktop,0
62,28974.52,808,19,124615.11,104.1,2,Two-Year,Bank Transfer,Mobile,0
58,77893.41,360,44,43862.26,62.8,2,Month-to-Month,Credit Card,Mobile,0
46,83930.32,434,7,131234.59,119.2,2,Month-to-Month,Credit Card,Mobile,0
32,86817.53,754,44,115767.44,2.4,3,Month-to-Month,Bank Transfer,Mobile,0
62,114926.72,563,68,62686.12,36.7,2,Month-to-Month,Credit Card,Mobile,0
18,107708.39,522,34,112260.95,75.2,1,One-Year,Credit Card,Mobile,0
42,119225.29,740,66,144200.19,56.8,1,Two-Year,Electronic Check,Mobile,0
24,143556.91,558,69,68845.46,14.9,0,Month-to-Month,Bank Transfer,Tablet,0
26,151012.79,797,55,35764.08,44.8,0,Month-to-Month,Electronic Check,Mobile,0
41,136309.08,731,10,141272.48,4.0,3,One-Year,Electronic Check,Tablet,0
18,173106.17,413,42,90561.64,77.5,3,One-Year,Electronic Check,Mobile,0
61,27826.05,607,41,15789.77,107.2,2,Month-to-Month,Credit Card,Mobile,0
25,55345.59,681,69,85902.42,106.3,2,One-Year,Credit Card,Mobile,0
41,26172.25,470,10,75087.13,84.2,1,Two-Year,Credit Card,Mobile,0
28,125358.58,647,10,128338.33,56.4,4,Month-to-Month,Credit Card,Desktop,1
68,164194.74,815,60,79604.28,61.9,2,Month-to-Month,Bank Transfer,Mobile,0
34,62739.76,403,51,38284.87,17.3,3,Month-to-Month,Electronic Check,Desktop,0
25,168690.35,680,21,101346.61,41.6,3,One-Year,Electronic Check,Mobile,0
52,34341.45,621,8,81386.32,23.3,2,Month-to-Month,Electronic Check,Desktop,1
52,169837.58,590,65,34956.69,98.7,2,Two-Year,Bank Transfer,Desktop,0
50,79501.52,592,30,86044.18,109.9,3,One-Year,Bank Transfer,Mobile,0
22,40720.23,367,49,123230.34,64.9,2,Month-to-Month,Credit Card,Desktop,0
59,100310.12,832,9,4285.64,87.6,0,Month-to-Month,Bank Transfer,Desktop,0
56,64800.37,536,17,94627.66,15.5,1,One-Year,Electronic Check,Tablet,0
75,69155.3,695,69,52437.78,73.4,3,Month-to-Month,Credit Card,Mobile,0
58,72629.94,493,58,43900.72,84.6,4,Two-Year,Bank Transfer,Desktop,0
45,149469.01,611,57,58888.16,54.9,5,Month-to-Month,Electronic Check,Tablet,1
24,108570.0,790,62,51303.4,29.9,3,Month-to-Month,Credit Card,Desktop,0
26,73252.69,713,52,124835.87,105.4,1,One-Year,Electronic Check,Desktop,0
25,119601.74,840,61,41219.67,89.4,2,Month-to-Month,Credit Card,Tablet,0
29,136003.35,780,40,109972.95,108.1,1,One-Year,Electronic Check,Tablet,0
51,67256.72,588,38,14108.97,98.4,5,Month-to-Month,Credit Card,Desktop,1
50,89100.11,653,43,142709.46,118.9,4,One-Year,Credit Card,Mobile,0
65,43892.34,647,63,93347.5,23.9,1,Month-to-Month,Credit Card,Desktop,0
72,53078.15,425,19,106007.79,11.3,1,Month-to-Month,Bank Transfer,Mobile,1
40,130573.27,537,50,44705.9,41.1,5,One-Year,Electronic Check,Mobile,0
41,53122.94,682,33,61814.49,16.4,3,Month-to-Month,Bank Transfer,Tablet,0
54,106400.32,737,13,33566.76,63.3,1,Month-to-Month,Electronic Check,Desktop,0
52,134902.17,836,62,139880.41,76.3,1,Month-to-Month,Electronic Check,Tablet,0
61,41565.92,595,43,73215.67,69.8,1,Month-to-Month,Credit Card,Desktop,0
57,112933.39,479,49,94567.22,31.8,0,Two-Year,Bank Transfer,Mobile,0
39,64767.23,823,36,110140.8,109.2,3,Month-to-Month,Credit Card,Tablet,0
44,174253.67,664,10,55665.91,3.5,3,One-Year,Bank Transfer,Mobile,0
52,99949.58,760,6,108015.25,42.4,2,Month-to-Month,Credit Card,Desktop,0
18,149928.85,632,57,101398.87,86.6,3,Month-to-Month,Credit Card,Desktop,0
52,110285.11,428,1,105848.9,92.3,4,One-Year,Bank Transfer,Mobile,1
54,31728.94,421,71,73384.49,50.5,2,Month-to-Month,Credit Card,Mobile,0
64,123138.46,612,58,57440.61,3.0,3,One-Year,Bank Transfer,Mobile,0
31,172467.52,540,21,33312.33,74.5,6,Month-to-Month,Electronic Check,Desktop,1
20,118249.83,716,56,123693.95,8.5,2,Month-to-Month,Credit Card,Mobile,0
18,151974.27,724,20,91252.51,13.8,1,One-Year,Electronic Check,Mobile,0
22,162052.0,779,54,66652.83,78.4,4,Month-to-Month,Bank Transfer,Desktop,0
43,60352.36,412,25,141599.39,38.2,1,One-Year,Credit Card,Desktop,0
72,57866.95,837,28,7175.82,42.4,1,Month-to-Month,Electronic Check,Mobile,0
31,119702.05,729,5,127525.79,58.9,5,One-Year,Credit Card,Desktop,0
56,88709.41,361,21,149637.39,117.5,0,Month-to-Month,Credit Card,Mobile,0
44,155178.5,490,18,133041.32,115.9,3,One-Year,Credit Card,Mobile,0
26,164503.58,603,47,121565.49,50.5,1,Two-Year,Bank Transfer,Mobile,0
32,79780.31,392,70,56145.9,32.6,1,Month-to-Month,Bank Transfer,Desktop,0
32,61714.94,366,57,34697.13,37.0,1,Month-to-Month,Credit Card,Mobile,0
43,145981.45,412,19,110227.58,33.0,1,Two-Year,Credit Card,Mobile,0
59,67594.94,602,65,45686.3,64.3,4,Month-to-Month,Electronic Check,Mobile,1
30,152505.22,814,3,26405.95,73.2,2,One-Year,Electronic Check,Tablet,0
68,90679.43,725,42,117978.88,59.2,5,Two-Year,Bank Transfer,Tablet,0
49,128470.23,641,21,46881.55,49.6,2,One-Year,Credit Card,Mobile,0
56,39807.97,818,40,137166.26,26.1,2,Month-to-Month,Credit Card,Mobile,0
66,121698.2,357,67,126094.9,58.4,0,Month-to-Month,Electronic Check,Tablet,0
69,95023.99,674,25,127146.05,41.6,2,Month-to-Month,Credit Card,Mobile,0
49,115924.31,439,55,115735.46,65.4,0,Month-to-Month,Credit Card,Mobile,0
21,51042.2,557,52,132132.21,81.3,2,Month-to-Month,Bank Transfer,Mobile,0
47,139215.43,641,44,120862.03,76.4,2,One-Year,Bank Transfer,Tablet,0
54,158733.55,633,56,90376.7,56.0,3,Month-to-Month,Bank Transfer,Desktop,0
40,58594.67,467,55,44373.41,67.2,1,Two-Year,Credit Card,Mobile,0
56,39835.76,698,70,133231.38,34.9,2,Two-Year,Bank Transfer,Mobile,0
62,28663.98,524,66,126090.54,3.9,5,Two-Year,Bank Transfer,Tablet,0
32,124505.58,425,19,70931.9,75.4,1,Month-to-Month,Bank Transfer,Mobile,0
60,119099.58,450,7,5861.8,31.1,5,One-Year,Credit Card,Desktop,1
46,109738.1,763,63,95781.56,80.6,2,Month-to-Month,Electronic Check,Mobile,0
53,60951.8,500,42,7589.53,89.9,3,Month-to-Month,Bank Transfer,Desktop,0
30,85590.43,749,42,138941.99,110.0,3,One-Year,Bank Transfer,Mobile,0
49,117143.83,619,59,144244.69,115.0,2,Two-Year,Bank Transfer,Desktop,0
24,101998.86,807,20,28423.52,2.3,1,Month-to-Month,Credit Card,Mobile,0
68,178106.76,420,17,101458.41,118.9,1,Month-to-Month,Credit Card,Mobile,0
39,46148.16,842,27,13840.35,82.3,2,Month-to-Month,Credit Card,Mobile,0
45,132747.41,529,47,109427.54,77.6,1,One-Year,Credit Card,Desktop,0
19,87669.41,473,2,52093.15,2.8,2,Two-Year,Bank Transfer,Mobile,0
59,91370.94,730,63,102157.52,103.5,3,Month-to-Month,Bank Transfer,Mobile,0
62,136227.65,642,62,55931.48,18.3,2,Month-to-Month,Credit Card,Desktop,0
74,132327.6,634,19,21835.13,100.6,3,Two-Year,Electronic Check,Desktop,0
70,178644.68,544,17,60916.5,2.9,1,Month-to-Month,Credit Card,Desktop,0
23,44901.11,748,69,16901.03,77.9,3,One-Year,Credit Card,Mobile,0
45,41137.0,577,39,86532.49,52.7,2,Month-to-Month,Credit Card,Mobile,0
45,137272.52,780,71,6142.73,24.9,2,Month-to-Month,Bank Transfer,Desktop,0
61,114649.97,779,39,79097.95,13.8,1,Month-to-Month,Bank Transfer,Mobile,0
61,67494.9,785,36,132955.3,53.4,4,One-Year,Electronic Check,Tablet,0
37,37310.0,624,40,125680.99,15.7,2,Month-to-Month,Credit Card,Desktop,0
47,38277.03,810,45,132417.25,58.9,3,Month-to-Month,Credit Card,Mobile,0
28,163599.59,455,4,138307.32,75.4,2,Month-to-Month,Bank Transfer,Mobile,0
75,54739.44,370,25,15679.18,99.5,2,One-Year,Bank Transfer,Mobile,0
72,75122.59,413,69,19312.08,81.8,3,Two-Year,Electronic Check,Desktop,0
45,60131.74,514,30,83551.02,8.8,2,Two-Year,Credit Card,Mobile,0
42,80024.43,376,68,134095.9,37.6,3,Month-to-Month,Bank Transfer,Tablet,0
56,35760.7,660,29,146152.42,35.3,3,Two-Year,Credit Card,Mobile,0
50,105454.27,849,68,6939.29,109.9,3,Month-to-Month,Bank Transfer,Mobile,0
18,35479.95,634,51,53366.11,104.3,3,Month-to-Month,Credit Card,Mobile,0
74,149055.26,497,24,31934.14,45.0,3,One-Year,Bank Transfer,Desktop,0
44,61225.37,630,14,113394.88,9.5,2,Month-to-Month,Bank Transfer,Mobile,0
74,108701.85,675,69,96029.08,107.4,0,Month-to-Month,Credit Card,Mobile,0
69,161412.26,668,18,17983.2,106.7,1,Month-to-Month,Credit Card,Desktop,0
30,125885.99,513,42,72528.31,102.7,3,One-Year,Credit Card,Mobile,0
58,107608.46,735,57,102816.08,101.6,3,Month-to-Month,Credit Card,Desktop,0
20,75271.73,755,12,116850.81,58.2,4,Month-to-Month,Credit Card,Desktop,1
56,76615.3,573,17,3007.91,22.1,4,Two-Year,Credit Card,Tablet,0
23,128770.48,621,30,133570.44,57.8,1,One-Year,Electronic Check,Desktop,0
25,179091.6,495,23,85392.21,59.9,3,One-Year,Credit Card,Desktop,0
44,127585.07,802,1,121786.37,59.3,2,Month-to-Month,Credit Card,Mobile,0
26,111456.43,787,32,121190.7,65.1,3,Month-to-Month,Electronic Check,Mobile,0
54,138250.83,705,9,28477.9,31.7,2,Month-to-Month,Credit Card,Mobile,0
50,97106.87,379,15,16525.82,44.6,4,One-Year,Electronic Check,Desktop,0
68,34322.06,394,28,108193.09,52.7,1,One-Year,Bank Transfer,Mobile,0
59,112156.01,624,24,23464.04,16.6,0,Two-Year,Electronic Check,Desktop,0
61,173431.92,820,60,127490.62,55.2,2,Month-to-Month,Credit Card,Mobile,0
41,52171.96,383,35,108928.42,97.4,3,Month-to-Month,Bank Transfer,Desktop,0
32,131950.76,490,27,126273.8,99.5,2,Month-to-Month,Credit Card,Mobile,0
71,56144.72,776,20,44851.9,50.0,2,Month-to-Month,Electronic Check,Mobile,0
49,108053.29,667,65,47489.71,62.7,5,Month-to-Month,Credit Card,Tablet,0
49,39984.85,723,49,100683.23,5.0,2,Two-Year,Bank Transfer,Desktop,0
41,94807.5,570,1,4716.89,81.3,2,One-Year,Credit Card,Mobile,0
58,142205.32,705,10,108974.51,49.1,4,Month-to-Month,Electronic Check,Desktop,1
69,78873.59,371,47,125367.46,54.0,0,One-Year,Bank Transfer,Mobile,0
66,128061.32,529,59,62274.54,105.0,3,Month-to-Month,Credit Card,Desktop,0
66,148294.74,785,62,114731.82,56.0,2,Two-Year,Credit Card,Desktop,0
75,168712.56,716,18,26191.64,3.5,1,One-Year,Credit Card,Mobile,0
69,61369.52,769,46,48339.06,28.1,2,Month-to-Month,Credit Card,Desktop,0
29,86893.97,678,32,146145.74,57.6,3,One-Year,Credit Card,Mobile,0
56,48624.48,580,27,147949.23,51.5,2,One-Year,Electronic Check,Desktop,0
19,178834.94,848,18,76890.76,103.4,2,Month-to-Month,Bank Transfer,Mobile,0
20,168685.15,752,39,140140.47,65.5,1,Month-to-Month,Electronic Check,Mobile,0
66,108693.36,387,49,78409.6,83.1,3,Month-to-Month,Bank Transfer,Tablet,0
54,155515.16,419,44,43738.22,56.8,1,Month-to-Month,Bank Transfer,Mobile,0
66,105748.49,465,54,40034.89,53.3,3,Month-to-Month,Bank Transfer,Tablet,0
73,121655.78,588,34,139425.86,54.1,1,One-Year,Credit Card,Mobile,0
34,38814.29,684,71,25866.96,49.9,1,Month-to-Month,Bank Transfer,Mobile,0
66,142066.92,790,36,86944.87,65.1,1,One-Year,Bank Transfer,Desktop,0
19,44795.59,497,18,83328.76,30.8,2,Two-Year,Electronic Check,Mobile,0
19,153040.48,358,38,110943.25,107.0,2,One-Year,Bank Transfer,Mobile,0
45,146214.35,637,59,74886.44,40.6,2,One-Year,Electronic Check,Mobile,0
71,134855.43,737,9,40842.85,18.6,2,Two-Year,Bank Transfer,Tablet,0
40,30604.86,399,51,25409.47,12.5,3,One-Year,Bank Transfer,Desktop,0
54,71984.9,687,35,93122.82,2.6,2,Month-to-Month,Bank Transfer,Mobile,0
49,65782.45,354,5,107848.61,51.3,2,Month-to-Month,Credit Card,Mobile,0
50,80821.14,753,14,85428.19,23.3,2,One-Year,Credit Card,Mobile,0
18,38584.63,692,30,110752.69,3.6,5,One-Year,Electronic Check,Desktop,1
36,170228.46,475,4,21228.18,62.9,2,Two-Year,Electronic Check,Tablet,0
19,110839.35,424,39,132370.53,81.9,1,One-Year,Credit Card,Desktop,0
70,72356.27,514,64,87359.33,11.2,1,Two-Year,Electronic Check,Mobile,0
61,86532.14,627,25,19026.59,55.8,2,Month-to-Month,Credit Card,Desktop,0
43,94316.39,791,28,69288.78,89.5,5,One-Year,Bank Transfer,Tablet,0
49,118092.12,673,66,126718.76,118.3,4,Two-Year,Credit Card,Desktop,0
23,104930.31,826,22,134634.33,80.4,2,Month-to-Month,Credit Card,Tablet,0
49,167505.76,649,31,39697.43,30.1,3,Month-to-Month,Credit Card,Mobile,0
72,102029.34,639,23,106689.87,86.3,1,Month-to-Month,Credit Card,Desktop,0
21,178784.49,426,48,14997.79,72.2,5,One-Year,Credit Card,Desktop,0
72,156970.87,647,20,5031.88,26.2,0,Month-to-Month,Credit Card,Desktop,0
28,57319.13,486,38,84059.84,102.3,4,One-Year,Credit Card,Desktop,0
73,169242.26,455,55,104224.14,51.9,4,Month-to-Month,Credit Card,Mobile,1
34,43036.79,444,68,119368.01,115.5,2,Month-to-Month,Credit Card,Mobile,0
55,151704.7,484,1,51032.44,87.0,1,Two-Year,Bank Transfer,Tablet,0
41,83996.61,417,7,978.81,77.7,1,Month-to-Month,Electronic Check,Mobile,1
22,161086.02,496,57,71927.89,87.7,1,Month-to-Month,Credit Card,Tablet,0
69,159548.79,839,12,2378.03,57.9,1,Month-to-Month,Credit Card,Desktop,0
51,149918.44,827,5,13797.68,61.1,1,One-Year,Bank Transfer,Mobile,0
23,147454.72,508,50,49003.35,102.3,3,Month-to-Month,Credit Card,Tablet,0
39,72225.27,733,42,65575.81,82.0,3,Month-to-Month,Bank Transfer,Desktop,0
28,37542.49,512,12,41920.42,107.8,2,Two-Year,Credit Card,Mobile,0
65,87461.93,790,18,87279.79,107.0,4,Month-to-Month,Credit Card,Mobile,1
33,51896.3,690,66,8302.47,117.2,4,Month-to-Month,Credit Card,Tablet,0
50,132717.42,538,17,21686.96,84.3,1,Month-to-Month,Credit Card,Desktop,0
26,78645.46,764,68,104288.76,60.8,1,Month-to-Month,Electronic Check,Desktop,0
23,176219.58,688,71,21321.13,20.8,4,Month-to-Month,Credit Card,Desktop,0
33,124350.67,444,62,95966.28,84.9,1,One-Year,Electronic Check,Mobile,0
46,152484.49,530,41,8202.69,35.7,4,Two-Year,Credit Card,Tablet,0
20,45541.32,637,34,61107.34,34.7,1,Month-to-Month,Electronic Check,Mobile,0
37,158612.24,671,70,26611.42,29.4,2,One-Year,Credit Card,Mobile,0
53,168027.36,536,45,16445.44,105.1,1,Month-to-Month,Credit Card,Mobile,0
36,100494.6,721,58,85054.92,104.3,2,One-Year,Bank Transfer,Mobile,0
43,118969.21,487,51,139250.37,76.1,3,Month-to-Month,Credit Card,Desktop,0
20,143545.52,479,34,8218.06,57.3,4,Month-to-Month,Electronic Check,Mobile,1
36,52099.99,543,44,63233.14,81.0,3,Month-to-Month,Bank Transfer,Mobile,0
37,102897.74,665,15,106130.32,73.3,4,Month-to-Month,Bank Transfer,Mobile,1
49,86792.77,821,70,69403.17,50.5,0,One-Year,Credit Card,Desktop,0
24,47687.97,622,50,120974.39,46.2,4,One-Year,Bank Transfer,Mobile,0
69,81967.84,701,32,26946.8,46.6,3,Month-to-Month,Bank Transfer,Mobile,0
58,35566.71,493,67,143939.13,71.1,5,Two-Year,Electronic Check,Desktop,0
50,29000.85,365,3,57774.39,78.1,2,Month-to-Month,Credit Card,Mobile,0
57,45950.77,651,51,51235.44,54.8,3,One-Year,Electronic Check,Mobile,0
56,174282.84,772,67,131190.87,116.3,5,Month-to-Month,Electronic Check,Tablet,0
35,110177.08,594,48,84580.05,11.0,3,Month-to-Month,Electronic Check,Mobile,0
57,174702.43,764,17,77466.65,42.3,4,Month-to-Month,Bank Transfer,Mobile,1
18,92037.17,456,7,109046.69,50.9,2,Month-to-Month,Bank Transfer,Desktop,0
28,73331.5,437,13,86975.14,3.0,3,Month-to-Month,Credit Card,Desktop,0
45,103451.99,478,66,24377.35,44.4,2,One-Year,Electronic Check,Desktop,0
74,93124.31,744,4,101129.64,33.6,2,One-Year,Electronic Check,Mobile,0
42,41378.03,724,10,20020.33,61.2,1,One-Year,Credit Card,Desktop,0
67,124328.08,690,17,120878.66,41.0,2,Two-Year,Credit Card,Desktop,0
40,58485.92,353,52,148460.49,87.4,3,Two-Year,Electronic Check,Mobile,0
48,121036.13,676,6,56608.14,61.7,1,One-Year,Credit Card,Mobile,0
47,125781.17,759,69,66713.38,16.4,5,One-Year,Credit Card,Desktop,0
59,48563.85,716,9,6965.05,90.3,0,Month-to-Month,Electronic Check,Mobile,1
52,34509.19,655,21,2059.98,12.8,2,Two-Year,Electronic Check,Mobile,0
24,146018.05,745,24,138212.9,100.8,0,Two-Year,Electronic Check,Mobile,0
33,96269.07,444,4,19293.61,111.8,3,Month-to-Month,Credit Card,Mobile,0
43,34015.39,558,24,66866.81,39.4,1,Month-to-Month,Credit Card,Mobile,0
65,179204.28,574,59,122303.19,111.2,0,Two-Year,Bank Transfer,Mobile,0
74,33955.99,808,3,133397.81,95.4,2,Month-to-Month,Bank Transfer,Mobile,0
69,132730.46,697,68,77909.65,110.8,1,Month-to-Month,Credit Card,Tablet,0
66,177470.23,829,40,84754.88,80.3,0,Month-to-Month,Electronic Check,Mobile,0
